dialogue_id,turn_id,utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,emotion_label,valence,arousal,dominance
Ses01F_script03_2,1,We were very much younger then.,3.090557813644409,3.1119725704193115,3.6174774169921875,3.0164954662323,3.524048328399658,3.657590866088867,2.442004919052124,3.1908371448516846,3.4810445308685303,3.643486976623535,3.1757419109344482,3.4492626190185547,3.090334415435791,3.787989616394043,2.5085136890411377,3.530200719833374,2.576716184616089,1.670715570449829,4.156355857849121,2.7555558681488037,3.742192506790161,xxx,3.5,3.5,3.0
Ses01F_script03_2,2,And very much sillier.,3.089127779006958,3.4700658321380615,3.6296637058258057,1.9585450887680054,4.348730564117432,2.8303167819976807,2.177273750305176,2.8895103931427,3.612896203994751,3.559293270111084,2.302065372467041,3.090280532836914,2.9829649925231934,3.771953821182251,2.2089099884033203,3.4688401222229004,3.4658074378967285,2.377264976501465,3.6818056106567383,3.3590941429138184,3.5072662830352783,hap,4.0,3.0,4.0
Ses01F_script03_2,3,However I believe the real cause of that row was Peter Burden.,3.9764392375946045,2.3698534965515137,2.343003511428833,1.3799474239349365,4.4127302169799805,3.0312728881835938,2.012259006500244,1.5232477188110352,4.594101428985596,2.75730037689209,1.5929285287857056,3.3762593269348145,1.95474374294281,4.461935520172119,1.9718118906021118,2.788140296936035,4.033323287963867,3.0033762454986572,3.840505838394165,3.278369188308716,3.638906717300415,neu,2.5,2.5,3.0
Ses01F_script03_2,4,Oh.  You knew there was nothing in that.,2.8822827339172363,3.708888530731201,3.949355125427246,2.4009029865264893,3.8342840671539307,3.032632350921631,2.254145383834839,3.4294912815093994,3.3056485652923584,3.6844656467437744,2.795722484588623,3.0784976482391357,3.341869592666626,3.53666090965271,2.3175594806671143,3.601846694946289,2.929550886154175,1.8820723295211792,3.6286706924438477,3.1310434341430664,3.378981828689575,hap,3.5,3.5,4.0
Ses01F_script03_2,5,I knew nothing of the sort.  You took presents from him.,3.4961607456207275,3.1203482151031494,3.0700178146362305,2.114915370941162,3.873439073562622,2.8508927822113037,1.825588345527649,2.2414159774780273,4.663836479187012,3.17315411567688,2.267596960067749,3.1633944511413574,2.6022582054138184,4.523176670074463,1.7689259052276611,3.354844331741333,3.679905891418457,2.6871249675750732,3.6298506259918213,3.0580499172210693,3.2848472595214844,neu,2.5,3.5,3.0
Ses01F_script03_2,6,"Presents?  It was only a trivial, little brooch.",3.054391860961914,3.65144419670105,3.5684359073638916,3.267667293548584,2.8588006496429443,2.5727410316467285,1.9632207155227661,2.487835168838501,4.408999919891357,3.451284646987915,3.200848340988159,2.975593328475952,2.9262280464172363,4.408930778503418,1.9293274879455566,3.821320056915283,2.546520471572876,1.8914655447006226,3.388671636581421,2.377117156982422,2.7774152755737305,hap,4.0,3.5,4.0
Ses01F_script03_2,7,"It was bristling with diamonds.  In the worst possible taste, too.",3.746797800064087,3.0011887550354004,3.017505168914795,2.0198099613189697,4.18164587020874,2.753779172897339,2.4676432609558105,2.2253928184509277,4.324779987335205,3.060272216796875,2.182182550430298,3.346461057662964,2.5353214740753174,4.251087665557861,2.4460387229919434,3.3744020462036133,3.516396999359131,2.556969165802002,3.800488233566284,3.276160955429077,3.4271528720855713,xxx,2.0,3.0,3.5
Ses01F_script03_2,8,"It was not.  I still have it, and I wear it often.  It is very pretty.",2.012960433959961,3.8569376468658447,4.2885589599609375,3.6964168548583984,2.3194491863250732,2.9031314849853516,1.7849912643432617,4.3224005699157715,2.423989772796631,3.8049802780151367,3.807501792907715,2.7702341079711914,3.9367947578430176,2.9071381092071533,1.8517667055130005,3.8101744651794434,1.739723563194275,1.229485034942627,3.6260199546813965,1.9727813005447388,2.9443888664245605,xxx,2.5,2.5,3.5
Ses01F_script03_2,9,You went out of your way to torture me over Peter Burden.,3.556739091873169,2.778684139251709,2.9599218368530273,1.5163617134094238,4.553821563720703,3.23370099067688,1.9196453094482422,2.506645917892456,4.169059753417969,3.193216323852539,1.9311779737472534,3.2986130714416504,2.5804882049560547,4.1390557289123535,1.8466445207595825,3.037263870239258,3.899270534515381,2.6386778354644775,3.878427743911743,3.434738874435425,3.7876358032226562,neu,2.0,4.0,4.0
Ses01F_script03_2,10,I did not.  You worked that whole thing up in your jealous imagination.,3.385141611099243,2.991884231567383,3.3712339401245117,2.074037551879883,4.186638355255127,3.610933542251587,2.2079412937164307,3.41672945022583,3.445030927658081,3.390439987182617,2.4840543270111084,3.4154484272003174,3.118468761444092,3.584813117980957,2.1096341609954834,3.3319900035858154,3.3887712955474854,2.2241201400756836,4.061957836151123,3.373793840408325,3.8677730560302734,neu,3.5,3.5,4.5
Ses01F_script03_2,11,"Well, you let him kiss you, huh?  You said you did.",3.2694263458251953,3.1101372241973877,3.2731807231903076,3.0232317447662354,3.2640631198883057,3.26534366607666,1.9827803373336792,2.9271762371063232,4.351991653442383,3.399773120880127,3.027078866958618,3.267585039138794,2.93451189994812,4.4453325271606445,1.89141047000885,3.649008274078369,2.935930013656616,2.1350104808807373,3.9753315448760986,2.708725690841675,3.4136154651641846,fru,2.0,3.5,3.5
Ses01F_script03_2,12,"Well, what of it?",2.668574810028076,3.7227602005004883,4.0442304611206055,2.8553497791290283,3.445803165435791,3.2305140495300293,2.1787424087524414,3.789431095123291,2.982102394104004,3.767925977706909,3.165076732635498,3.0817835330963135,3.4648754596710205,3.4410228729248047,2.3117923736572266,3.6310646533966064,2.5507092475891113,1.6803103685379028,3.83746337890625,2.8399107456207275,3.381146192550659,neu,3.5,2.0,3.5
Ses01F_script03_2,13,What of it?,2.812903642654419,3.6420371532440186,3.984302043914795,2.6714789867401123,3.677520751953125,3.2780046463012695,2.272573232650757,3.7356138229370117,2.9508118629455566,3.7479591369628906,2.972405195236206,3.1631195545196533,3.3862228393554688,3.3955776691436768,2.397947311401367,3.5747311115264893,2.7081761360168457,1.7808866500854492,3.8749749660491943,3.0193097591400146,3.4449496269226074,xxx,2.0,2.5,3.0
Ses01F_script03_2,14,It gave him a lot of pleasure and it didn't hurt me.,2.250337839126587,3.760485887527466,3.928494930267334,4.3818769454956055,1.7674710750579834,2.7644481658935547,1.7069774866104126,3.5525565147399902,3.4869189262390137,3.638491630554199,4.062986373901367,2.74794864654541,3.560945749282837,3.7454581260681152,1.7920836210250854,3.906463146209717,1.551943302154541,1.3091845512390137,3.712956190109253,1.5815482139587402,2.825942277908325,xxx,3.5,3.0,3.5
Ses01F_script03_2,15,What about me?,2.9587395191192627,3.623354434967041,3.9246537685394287,1.8769623041152954,4.38873291015625,3.093158483505249,2.4737625122070312,3.229668617248535,2.9823837280273438,3.6937336921691895,2.3343570232391357,3.0687596797943115,3.029996871948242,3.3344175815582275,2.6406192779541016,3.302381992340088,3.1355206966400146,1.988180160522461,3.71407413482666,3.43643856048584,3.4963083267211914,ang,2.5,2.5,3.0
Ses01F_script03_2,16,"If you hadn't been so suspicious and nosey, you never would have known a thing about it.",3.568232774734497,2.937039852142334,3.175565719604492,2.6390223503112793,3.674276351928711,3.6880033016204834,2.446885824203491,3.377957820892334,3.547464609146118,3.3364107608795166,2.8886547088623047,3.5975725650787354,3.095296859741211,3.781111478805542,2.311295509338379,3.561971426010132,2.955106496810913,2.0039515495300293,4.146408557891846,3.0526952743530273,3.7005438804626465,xxx,3.5,3.0,4.0
Ses01F_script03_2,17,"That's a nice point of view, I must say.",2.95509934425354,3.5068442821502686,3.5107598304748535,4.330130577087402,1.8880443572998047,2.7312815189361572,1.991174578666687,2.696291446685791,4.227019309997559,3.3472909927368164,3.8496248722076416,2.9705255031585693,2.8387744426727295,4.308537483215332,2.0157015323638916,3.851919174194336,1.7744654417037964,1.5337560176849365,3.7313809394836426,1.6884747743606567,2.620980739593506,xxx,2.0,3.0,4.0
Ses01F_script03_2,18,Oh dear.  I'm bored with this conversation.,2.469916582107544,3.997382879257202,4.311491012573242,1.821897268295288,4.193021297454834,2.688774347305298,2.1801095008850098,3.4928808212280273,2.5723719596862793,3.7802374362945557,2.3758432865142822,2.669435501098633,3.4428203105926514,2.9466965198516846,2.38151216506958,3.429830312728882,2.781543493270874,1.6836562156677246,3.2009923458099365,3.216033697128296,3.133699655532837,fru,2.0,2.5,3.5
Ses01F_script03_2,19,So am I.  I'm bored stiff. [GARBAGE]  Do you want some brandy?,2.1839358806610107,4.123871326446533,4.422407150268555,1.7990024089813232,3.9218344688415527,2.239751100540161,2.2684245109558105,3.7436842918395996,1.8891675472259521,3.7081172466278076,2.2704153060913086,2.428478956222534,3.6545326709747314,2.2828359603881836,2.334635019302368,3.4374659061431885,2.4286539554595947,1.4819546937942505,2.8608953952789307,3.056455373764038,2.747799873352051,fru,2.5,3.0,3.5
Ses01F_script03_2,20,No.  Thank you.,2.8689231872558594,3.491363048553467,3.9325428009033203,3.2859199047088623,3.185389757156372,3.399384021759033,2.2779009342193604,3.3327698707580566,3.3114328384399414,3.725168228149414,3.417078733444214,3.1939170360565186,3.292706251144409,3.714526653289795,2.350257635116577,3.6331069469451904,2.4446399211883545,1.5744656324386597,3.993335008621216,2.48589825630188,3.4788520336151123,xxx,2.5,3.0,3.5
Ses01F_script03_2,21,"I'll have a little, I think.",1.532680630683899,4.095296859741211,4.59797477722168,3.06402587890625,2.6247730255126953,2.5487236976623535,1.7141178846359253,4.414268493652344,1.5379458665847778,3.8460142612457275,3.3001227378845215,2.4254310131073,4.039050579071045,2.054950475692749,1.8845834732055664,3.6331071853637695,1.709073781967163,1.1274044513702393,3.2450504302978516,2.148167133331299,2.6546430587768555,neu,3.0,4.0,3.0
Ses01F_script03_2,22,"I don't know why you'd want any, you've already had three glasses.",2.1876800060272217,4.224776268005371,4.281318187713623,1.7448090314865112,3.8599894046783447,1.6729847192764282,1.8892017602920532,2.844169855117798,3.0679616928100586,3.6415841579437256,2.121387243270874,2.2678043842315674,3.3011348247528076,3.1482186317443848,2.124823570251465,3.4748682975769043,2.8585400581359863,1.8246067762374878,2.7501986026763916,3.016634702682495,2.5752687454223633,xxx,2.0,2.5,3.5
Ses01F_script03_2,23,"No particular reason.  Anyhow, they are very small ones.",2.362996816635132,4.0107340812683105,4.321744918823242,3.0586719512939453,3.168459177017212,2.7311863899230957,2.3149526119232178,3.5746347904205322,2.744917631149292,3.8172945976257324,3.2092626094818115,2.831224203109741,3.4778847694396973,3.1556053161621094,2.557774066925049,3.694087028503418,2.076035976409912,1.4362398386001587,3.660762310028076,2.4631569385528564,3.1499714851379395,neu,2.5,4.0,3.0
