dialogue_id,turn_id,speaker,utterance,suddenness,familiarity,predict_event,pleasantness,unpleasantness,goal_relevance,chance_responsblt,self_responsblt,other_responsblt,predict_conseq,goal_support,urgency,self_control,other_control,chance_control,accept_conseq,standards,social_norms,attention,not_consider,effort,emotion_id,emotion_label
DMAGE2493.json,0,user,I am  looking forward to trying local restaurants. The restaurant should be in the moderate price range. The restaurant should be in the centre. The restaurant should serve gastropub food.,2.777151346206665,3.4435970783233643,3.5678505897521973,4.283007621765137,1.9366645812988281,2.849649667739868,1.9215943813323975,2.996212959289551,3.9967873096466064,3.548625946044922,3.9208714962005615,3.005833864212036,3.1236207485198975,4.286370277404785,1.9295190572738647,3.9120571613311768,1.7645587921142578,1.5013220310211182,3.745065450668335,1.6982572078704834,2.7425668239593506,5.0,Excited
DMAGE2493.json,2,user,"Once you find a restaurnat, make sure you get phone number, address.",2.8868448734283447,3.3602612018585205,3.4270057678222656,4.2997307777404785,1.9041386842727661,3.083369493484497,2.2724785804748535,2.9075357913970947,3.814631700515747,3.4624948501586914,4.008253574371338,3.115072011947632,3.0819244384765625,4.190423011779785,2.21471905708313,3.9182090759277344,1.6831010580062866,1.4569168090820312,3.9020261764526367,1.7217715978622437,2.929887294769287,0.0,Neutral
DMAGE2493.json,3,system,Their address is 2 Sturton Street City Centre . Their phone number is 01223306306 . Their postcode is cb12qa.,3.231701135635376,3.575763702392578,3.5289578437805176,3.278826951980591,3.036755084991455,2.7520787715911865,2.2914304733276367,2.496715784072876,4.197151184082031,3.5039117336273193,3.1926448345184326,3.087270736694336,2.823441982269287,4.433250904083252,2.3196423053741455,3.7392473220825195,2.6282119750976562,2.0284318923950195,3.7037034034729004,2.3931427001953125,3.0394437313079834,,
DMAGE2493.json,4,user,I am excited about seeing local tourist attractions. The attraction should be in the same area as the restaurant.,2.5168871879577637,3.7608869075775146,3.656268835067749,4.366148948669434,1.5337845087051392,2.1934757232666016,1.781211256980896,2.638017416000366,4.041253566741943,3.432190418243408,3.9201250076293945,2.6680634021759033,3.0287532806396484,4.242189407348633,1.8637008666992188,3.9121928215026855,1.4610562324523926,1.3513927459716797,3.342003107070923,1.4029356241226196,2.2218563556671143,5.0,Excited
DMAGE2493.json,5,system,It 's considered a none . Unfortunately I can not find anything strictly categorized as none in that area can you provide more specifications ?,3.7723031044006348,3.024416208267212,3.079360008239746,2.185359001159668,4.140746593475342,3.106515407562256,2.9389500617980957,2.228665828704834,3.9909074306488037,3.1974167823791504,2.28092360496521,3.457645893096924,2.517653465270996,4.175154685974121,2.925534248352051,3.3052268028259277,3.0874714851379395,2.154287338256836,3.945631504058838,3.1645901203155518,3.548971652984619,,
DMAGE2493.json,6,user,"Once you find an attraction, make sure you get entrance fee, address.",2.6841795444488525,3.5099880695343018,3.7481541633605957,3.726923942565918,2.607457160949707,3.1374101638793945,2.1239280700683594,3.3157548904418945,3.6083502769470215,3.706470489501953,3.715630531311035,3.1061248779296875,3.305607557296753,4.029344081878662,2.157532215118408,3.854255199432373,2.1045801639556885,1.6522516012191772,4.009754180908203,2.0967822074890137,3.1922214031219482,0.0,Neutral
DMAGE2493.json,7,system,There are none available at this time . Does a entrance fee make any difference ?,3.4501724243164062,3.3121840953826904,3.37947154045105,1.9633451700210571,4.2881388664245605,2.9413232803344727,2.7399938106536865,2.2719781398773193,3.8362972736358643,3.3924927711486816,2.2081873416900635,3.2568764686584473,2.5602619647979736,4.0636701583862305,2.877854108810425,3.2155284881591797,3.152031660079956,2.129855155944824,3.762288808822632,3.287982702255249,3.512390613555908,,
DMAGE2493.json,8,user,I also want to book a taxi to commute between the two places. The taxi should arrive at the restaurant from the attraction by 10:15.,1.8271899223327637,3.9421958923339844,4.423757553100586,3.186028003692627,2.8341121673583984,2.7516305446624756,1.849755883216858,4.058933734893799,2.427191734313965,3.981750249862671,3.462254762649536,2.663280963897705,3.8289172649383545,2.9795773029327393,1.9959466457366943,3.739074468612671,1.9696248769760132,1.3125331401824951,3.51617169380188,2.2468223571777344,2.9560694694519043,0.0,Neutral
DMAGE2493.json,9,system,Its entrance fee is none . A tesla is booked for you . Is there anything else I can help you with today ?,3.1392478942871094,3.276689291000366,3.2174715995788574,4.539317607879639,1.6118210554122925,2.976262331008911,2.152301073074341,2.8281548023223877,4.104730129241943,3.240022659301758,4.085978031158447,3.07100248336792,2.9831511974334717,4.335301399230957,2.05769681930542,3.903088092803955,1.5165910720825195,1.410385012626648,3.783393621444702,1.522720217704773,2.708972692489624,,
DMAGE2493.json,10,user,"Once you find a taxi, make sure you get car type, phone number.",2.7835335731506348,3.428635358810425,3.6900880336761475,3.7080297470092773,2.683830976486206,3.2225213050842285,2.2960402965545654,3.1872191429138184,3.6208417415618896,3.6626381874084473,3.6998391151428223,3.1724600791931152,3.2258753776550293,4.07737922668457,2.2516698837280273,3.8069958686828613,2.13116455078125,1.6768741607666016,3.982675313949585,2.2047455310821533,3.2631630897521973,0.0,Neutral
